My Generated Report

site_no,station_nm,y,x,name,agency_cd,site_tp_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,lev_timestamp,ObjectId
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",16.92,null,null,"1",null,"m","2",null,"O","A","6/24/2010",126
312250110063901,"D-23-22 33DCD2 [PALO DEEP]",31.38010095,-110.1103549,"PALO DEEP","USGS","GW",13.29,null,null,"1",null,"D","2",null,"S","A","10/14/1955",127
312214110071602,"D-24-22 04CBC2 [PALUWD]",31.37070278,-110.1221194,"PALUWD","USGS","GW",18.27,null,null,"1","USGS","m","2","S","T","A","7/22/2005",128
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",17.23,null,null,"1",null,"m","2",null,"O","A","7/15/2010",129
312127110073101,"D-24-22 08DBA1 [PLS-LI]",31.3575222,-110.1260028,"PLS-LI","USGS","GW",5.13,null,null,"1","USGS","m","2","S","T","A","8/10/2001",130
312250110063901,"D-23-22 33DCD2 [PALO DEEP]",31.38010095,-110.1103549,"PALO DEEP","USGS","GW",13.26,null,null,"1",null,"D","2",null,"S","A","11/14/1955",131
312214110071602,"D-24-22 04CBC2 [PALUWD]",31.37070278,-110.1221194,"PALUWD","USGS","GW",17.33,null,null,"1","USGS","m","2","S","T","A","11/2/2005",132
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.82,null,null,"1",null,"m","2",null,"O","A","9/8/2010",133
312127110073301,"D-24-22 08DBA2 [PLS-LO]",31.35772778,-110.126375,"PLS-LO","USGS","GW",9.11,null,null,"1","USGS","m","2","S","T","A","2/12/2004",134
312214110071602,"D-24-22 04CBC2 [PALUWD]",31.37070278,-110.1221194,"PALUWD","USGS","GW",18.8,null,null,"1","USGS","m","2","S","V","P","2/13/2024",135
312127110073101,"D-24-22 08DBA1 [PLS-LI]",31.3575222,-110.1260028,"PLS-LI","USGS","GW",4.29,null,null,"1","USGS","m","2","S","T","A","12/19/2001",136
312250110063901,"D-23-22 33DCD2 [PALO DEEP]",31.38010095,-110.1103549,"PALO DEEP","USGS","GW",13.29,null,null,"1",null,"D","2",null,"S","A","12/14/1955",137
312214110071602,"D-24-22 04CBC2 [PALUWD]",31.37070278,-110.1221194,"PALUWD","USGS","GW",17.34,null,null,"1","USGS","m","2","S","T","A","11/9/2005",138
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",15.18,null,null,"1",null,"m","2",null,"O","A","11/30/2010",139
312127110073301,"D-24-22 08DBA2 [PLS-LO]",31.35772778,-110.126375,"PLS-LO","USGS","GW",9.02,null,null,"1",null,"m","2",null,"O","A","4/23/2004",140
312214110071602,"D-24-22 04CBC2 [PALUWD]",31.37070278,-110.1221194,"PALUWD","USGS","GW",18.8,null,null,"1","USGS","m","U","S","V","P","2/13/2024",141
312127110073101,"D-24-22 08DBA1 [PLS-LI]",31.3575222,-110.1260028,"PLS-LI","USGS","GW",6.72,null,null,"1","USGS","m","2","S","T","A","6/12/2002",142
312250110063901,"D-23-22 33DCD2 [PALO DEEP]",31.38010095,-110.1103549,"PALO DEEP","USGS","GW",13.34,null,null,"1",null,"D","2",null,"S","A","1/14/1956",143
312214110071602,"D-24-22 04CBC2 [PALUWD]",31.37070278,-110.1221194,"PALUWD","USGS","GW",17.2,null,null,"1","USGS","m","2","S","T","A","12/21/2005",144
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.85,null,null,"1",null,"m","2",null,"O","A","12/29/2010",145
312127110073301,"D-24-22 08DBA2 [PLS-LO]",31.35772778,-110.126375,"PLS-LO","USGS","GW",8.52,null,null,"1",null,"m","2",null,"O","A","10/2/2006",146
312226110062101,"D-24-22 04ADD [PAL-SA]",31.3739361,-110.1064861,"PAL-SA","USGS","GW",32.46,null,null,"1","USGS","m","2","S","T","A","8/10/2001",147
312127110073101,"D-24-22 08DBA1 [PLS-LI]",31.3575222,-110.1260028,"PLS-LI","USGS","GW",7.41,null,null,"1","USGS","m","2","S","T","A","11/1/2002",148
